name,id,name_type,rec_class,mass,fall,year,rec_lat,rec_long,location_type
Ferguson Switch,10089,Valid,Stony,1700.0,Found,1937.0,34.0,-101.5,Exact
Fife,30563,Valid,Stony,8600.0,Found,2003.0,31.38972,-99.40583,Exact
Finney,10104,Valid,Stony,10700.0,Found,1962.0,34.26667,-101.56667,Exact
Finney (c),10105,Valid,Stony,492.0,Found,1978.0,34.29833,-101.68333,Exact
Fish Canyon,10106,Valid,Iron,27.3,Found,1992.0,31.735,-110.75333,Exact
Fitzwater Pass,51738,Valid,Iron,65.4,Found,1974.0,42.03839,-120.58942,Exact
Flagg,10108,Valid,Stony,7000.0,Found,1954.0,34.43333,-102.51667,Exact
Flagler,30564,Valid,Stony,4100.0,Found,1972.0,39.23,-102.99,Exact
Flandreau,10109,Valid,Stony,21360.0,Found,1983.0,44.04833,-96.59167,Exact
Fleming,10110,Valid,Stony,1750.0,Found,1940.0,40.68333,-102.81667,Exact
Florey,10112,Valid,Stony,110800.0,Found,1978.0,32.5225,-102.705,Exact
Floyd,10113,Valid,Stony,13000.0,Found,1966.0,34.19333,-103.575,Exact
Floydada,10114,Valid,Iron,12500.0,Found,1912.0,33.98333,-101.28333,Exact
Floydada (b),10115,Valid,Stony,6266.0,Found,1999.0,33.98333,-101.33333,Exact
Fluvanna (a),10116,Valid,Stony,9500.0,Found,1967.0,32.8,-101.11667,Exact
Fluvanna (b),10117,Valid,Stony,4110.0,Found,1976.0,32.90333,-101.16278,Exact
Forestburg (a),10121,Valid,Stony,26100.0,Found,1957.0,33.50667,-97.65139,Exact
Forestburg (b),10122,Valid,Stony,26600.0,Found,1957.0,33.49556,-97.58861,Exact
Forsyth County,10165,Valid,Iron,22700.0,Found,1891.0,36.1,-80.2,Exact
Fort Pierre,10167,Valid,Iron,15900.0,Found,1856.0,44.35,-100.38333,Exact
Fort Stockton,10168,Valid,Iron,4762.8,Found,1952.0,30.91667,-103.06667,Exact
Foster,10170,Valid,Stony,1992.0,Found,1975.0,33.1,-102.26667,Exact
Fountain Hills,30565,Valid,Stony,60.0,Found,2002.0,33.61,-111.72,Exact
Four Corners,10172,Valid,Iron,25000.0,Found,1924.0,37.0,-109.05,Exact
Franceville,10173,Valid,Iron,18800.0,Found,1890.0,38.81667,-104.61667,Exact
Franconia,10174,Valid,Stony,100000.0,Found,2002.0,34.71637,-114.22197,Exact
Frankel City,10175,Valid,Stony,4700.0,Found,1977.0,32.33333,-102.745,Exact
Frankfort (iron),10176,Valid,Iron,10900.0,Found,1866.0,38.2,-84.83333,Exact
Franklin,10178,Valid,Stony,9062.0,Found,1921.0,36.71667,-86.56667,Exact
Franklinville,10179,Valid,Stony,108.0,Found,1888.0,38.5,-100.0,Exact
Freda,10180,Valid,Iron,268.0,Found,1919.0,46.38333,-101.23333,Exact
Fremont Butte,10181,Valid,Stony,6647.0,Found,1963.0,38.5,-105.5,Exact
Friona,10184,Valid,Stony,21900.0,Found,1981.0,34.54,-102.56833,Exact
Gahanna,10842,Valid,Iron,1201.0,Found,1950.0,40.01667,-82.86667,Exact
Gail,10843,Valid,Stony,4650.0,Found,1948.0,32.7,-101.6,Exact
Gaines County Park,10844,Valid,Stony,13700.0,Found,1977.0,32.83333,-102.73333,Exact
Galatia,10847,Valid,Stony,23900.0,Found,1971.0,38.64167,-98.88333,Exact
Galleta Flat,52414,Valid,Stony,392.0,Found,2009.0,32.00415,-110.37503,Exact
Garnett,10862,Valid,Stony,4788.0,Found,1938.0,38.26667,-95.25,Exact
